Captain's name,Crew deaths during voyage,Crew at first landing of captives,Crew at voyage outset,Date vessel departed with captives,Date vessel departed for homeport,Display in compact mode,Date vessel arrived with captives,First place where captives were landed,First place where captives were purchased,Guns mounted,Cargo,Year of arrival at port of disembarkation,"Voyage duration, homeport to disembarkation (in days)",Place where vessel's voyage began,Principal place where captives were purchased,Principal place where captives were landed,Total embarked,Total disembarked,Captive deaths during crossing,Percentage of captives who died during crossing,Captive Background,Flag of vessel,Percent boys,Percent children,Percent girls,Percent males,Percent men,Percent women,Sterling cash price in Jamaica,Duration of captives' crossing (in days),Flag of vessel.1,Captives carried from 1st port,Captives carried from 2nd port,Captives carried from 3rd port,Captives landed at 1st port,Captives landed at 2nd port,Captives landed at 3rd port,Captives intended to be purchased at 1st place,Outcome of voyage for owner,Outcome of voyage if ship captured,Outcome of voyage for captives,Particular outcome of voyage,Vessel owner,Place where vessel's voyage ended,Places of call before Atlantic crossing,Place registered,Year registered,Resistance,Rig or type of vessel,Show advanced variables in search filters,Second place where captives were landed,Second place where captives were purchased,Vessel name,Date captive embarkation began,Source of data,Third place where captives were landed,Third place where captives were purchased,Tonnage,Standardized tonnage,Captives arrived at 1st port,Total embarked.1,Place constructed,Date vessel's voyage began,Date vessel arrived at homeport,Voyage ID,Year constructed,VOYAGEID2
Lamoisse<br/> Mainvielle,22.0,,44.0,1765-02-12T00:00:00Z,1765-12-18T00:00:00Z,,1765-04-15T00:00:00Z,,,,,1765.0,375.0,,,,627.0,571.0,,,,France,,,,,,,,62.0,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Foache (Vve)<br/> Foache (Fils)*,,,,,,,,,,Tamise,1764-08-09T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,300.0,343.1,571.0,,,1764-04-05T00:00:00Z,1766-03-07T00:00:00Z,32527,,
"La Sablonnière, de",59.0,,126.0,1714-01-04T00:00:00Z,,,1714-02-25T00:00:00Z,,,,,1714.0,407.0,,,,319.0,234.0,,,,France,,,,,,,,52.0,France,319.0,0.0,0.0,30.0,204.0,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,,,,,,,,,,,Impudent,1713-07-31T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget.",,,180.0,281.3,,319.0,,1713-01-14T00:00:00Z,1715-01-03T00:00:00Z,32850,,
"Sicard, J. François",20.0,,68.0,1722-12-28T00:00:00Z,,,1723-01-28T00:00:00Z,,,20.0,,1723.0,218.0,,,,346.0,296.0,,,,France,0.02341,0.03344,0.01003,0.84281,0.8194,0.14716,,31.0,France,283.0,63.0,,296.0,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Duc de Noailles,1722-07-26T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,205,214<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,300.0,343.1,,346.0,10702.0,1722-06-24T00:00:00Z,1724-01-08T00:00:00Z,32856,1717.0,
"Landouine, de",20.0,,105.0,1723-09-13T00:00:00Z,,,1723-10-21T00:00:00Z,,,14.0,,1723.0,130.0,,,,227.0,201.0,,,,France,0.08811,0.11454,0.02643,0.69163,0.60352,0.28194,,38.0,France,142.0,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,,,,,Maréchal d'Estrées,,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,205,214<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,300.0,343.1,,227.0,10702.0,1723-06-13T00:00:00Z,1724-05-04T00:00:00Z,32857,1717.0,
"Marquaisac, J. de",39.0,,146.0,1723-12-19T00:00:00Z,,,1724-01-14T00:00:00Z,,,36.0,,1724.0,244.0,,,,522.0,460.0,62.0,0.12,,France,,,,,,,26.94,26.0,France,,,,460.0,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,,,,,Jason,1723-06-13T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,205,215<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,550.0,618.1,460.0,522.0,10399.0,1723-05-15T00:00:00Z,1724-08-24T00:00:00Z,32861,1719.0,
"Monnier, J",39.0,,120.0,1724-05-19T00:00:00Z,,,1724-09-29T00:00:00Z,,,28.0,,1724.0,354.0,,,,411.0,332.0,79.0,0.19,,France,0.01807,0.03916,0.02108,0.74096,0.72289,0.23795,,133.0,France,411.0,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,,,,,Jupiter,1724-02-17T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,205,215<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,560.0,629.1,332.0,411.0,11004.0,1723-10-11T00:00:00Z,1725-09-19T00:00:00Z,32864,1719.0,
"Legier, F",47.0,,122.0,,,,1725-03-09T00:00:00Z,,,28.0,,1725.0,432.0,,,,337.0,287.0,,,,France,,,,,,,,,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,,,,,Mercure,,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,205,215<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,560.0,629.1,287.0,,11004.0,1724-01-02T00:00:00Z,1725-09-12T00:00:00Z,32865,1719.0,
Guilbert<br/> Kluybert,24.0,,65.0,,,,1725-04-05T00:00:00Z,,,16.0,,1725.0,393.0,,,,238.0,194.0,,,,France,,,,,,,,,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fluit,,,,Alexandre,,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,215<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,340.0,387.1,194.0,,10399.0,1724-03-08T00:00:00Z,1726-03-25T00:00:00Z,32869,1717.0,
"Fabrique, F",23.0,,63.0,1724-11-19T00:00:00Z,,,,,,16.0,,1724.0,,,,,292.0,,,,,France,,,,,,,,,France,,,,,,,,Original goal thwarted (natural hazard),Natural hazard,Slaves perished with ship,"Shipwrecked or destroyed, after embarkation of slaves or during slaving",Compagnie des Indes,,,,,,Fregat,,,,Indien,,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,205,215<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,230.0,341.3,,292.0,10399.0,1724-04-05T00:00:00Z,,32870,1720.0,
"Casaunau, P",36.0,,79.0,1725-06-05T00:00:00Z,,,,,,20.0,,1725.0,,,,,292.0,260.0,,,,France,0.09804,0.15686,0.05882,0.78431,0.68627,0.15686,,,France,,,,,,,,Delivered slaves for original owners,Not captured,Slaves disembarked in Americas,Voyage completed as intended,Compagnie des Indes,,,,,,Fregat,,,,Maure,1724-09-01T00:00:00Z,"mettas,II<>Mettas, Jean,  <i>Répertoire des Expéditions Négrières Françaises au XVIIIe Siècle;</i> Tome 1, <i>Nantes</i> (Paris, 1978); Tome 2, <i>Ports Autres que Nantes</i> (Paris, 1984), édité par Serge et Michelle Daget., LeTréhour,197,215<>Le Tréhour, Nolwenn, “La traite des Noirs lorientaise au temps de la Compagnie des Indes (1720-1770),” MA dissertation (Université de Bretagne-Sud, 1999)",,,250.0,365.3,,,10726.0,1724-06-09T00:00:00Z,1726-06-28T00:00:00Z,32871,1712.0,
